name,nse_symbol,isin
Balkrishna Paper Mills Limited,BALKRISHNA,INE875R01011
Balkrishna Industries Limited,BALKRISIND,INE787D01026
Balmer Lawrie & Company Limited,BALMLAWRIE,INE164A01016
Bal Pharma Limited,BALPHARMA,INE083D01012
Balrampur Chini Mills Limited,BALRAMCHIN,INE119A01028
Balu Forge Industries Limited,BALUFORGE,INE011E01029
Banaras Beads Limited,BANARBEADS,INE655B01011
Bannari Amman Sugars Limited,BANARISUG,INE459A01010
Banco Products (I) Limited,BANCOINDIA,INE213C01025
Bandhan Bank Limited,BANDHANBNK,INE545U01014
Bang Overseas Limited,BANG,INE863I01016
Banka BioLoo Limited,BANKA,INE862Y01015
Bank of Baroda,BANKBARODA,INE028A01039
Bank of India,BANKINDIA,INE084A01016
Bansal Wire Industries Limited,BANSALWIRE,INE0B9K01025
Banswara Syntex Limited,BANSWRAS,INE629D01020
BASF India Limited,BASF,INE373A01013
Bannari Amman Spinning Mills Limited,BASML,INE186H01022
Bata India Limited,BATAINDIA,INE176A01028
Batliboi Limited,BATLIBOI,INE177C01022
Bayer Cropscience Limited,BAYERCROP,INE462A01022
Bharat Bijlee Limited,BBL,INE464A01036
Black Box Limited,BBOX,INE676A01027
The Bombay Burmah Trading Corporation Limited,BBTC,INE050A01025
B&B Triplewall Containers Limited,BBTCL,INE01EE01011
Brightcom Group Limited,BCG,INE425B01027
Bcl Industries Limited,BCLIND,INE412G01024
Brand Concepts Limited,BCONCEPTS,INE977Y01011
BCPL Railway Infrastructure Limited,BCPL,INE00SW01015
Bharat Dynamics Limited,BDL,INE171Z01026
Beardsell Limited,BEARDSELL,INE520H01022
Mrs. Bectors Food Specialities Limited,BECTORFOOD,INE495P01020
Bedmutha Industries Limited,BEDMUTHA,INE844K01012
Beekay Steel Industries Limited,BEEKAY,INE213D01015
Bharat Electronics Limited,BEL,INE263A01024
Bella Casa Fashion & Retail Limited,BELLACASA,INE344T01014
Belrise Industries Limited,BELRISE,INE894V01022
BEML Limited,BEML,INE258A01024
Benares Hotels Limited,BENARAS,INE664D01019
Bengal & Assam Company Limited,BENGALASM,INE083K01017
Bhansali Engineering Polymers Limited,BEPL,INE922A01025
Berger Paints (I) Limited,BERGEPAINT,INE463A01038
Best Agrolife Limited,BESTAGRO,INE052T01021
Beta Drugs Limited,BETA,INE351Y01019
BF Investment Limited,BFINVEST,INE878K01010
BF Utilities Limited,BFUTILITIE,INE243D01012
BGR Energy Systems Limited,BGRENERGY,INE661I01014
Bhagiradha Chemicals & Industries Limited,BHAGCHEM,INE414D01027
Bhageria Industries Limited,BHAGERIA,INE354C01027
Bhagyanagar India Limited,BHAGYANGR,INE458B01036
Bhandari Hosiery Exports Limited,BHANDARI,INE474E01029
Bharat Coking Coal Limited,BHARATCOAL,INE05XR01022
Bharat Forge Limited,BHARATFORG,INE465A01025
